# Concept bridges (Phase 143, reason family): the metaphor jumps a human namer
# makes, written as typed edges. Activation crosses these AFTER the semantic
# field, so a chain reads like reasoning: password -> lock -> gate -> Torii.
# Columns: from <TAB> to <TAB> weight(0-1)
# "from" is a mundane concept (brief keyword or semfield neighbor, normalized);
# "to" is an imagery/domain concept that story_kb tags can match.
password	lock	0.95
password	key	0.9
password	secret	0.9
password	vault	0.85
secure	shield	0.9
secure	fortress	0.85
secure	guard	0.9
secure	lock	0.85
secure	vault	0.8
security	guard	0.9
security	shield	0.85
encrypt	cipher	0.9
encrypt	secret	0.85
encrypt	hidden	0.8
auth	gate	0.85
auth	threshold	0.8
login	gate	0.8
login	door	0.8
protect	shield	0.9
protect	guardian	0.9
protect	fortress	0.8
privacy	hidden	0.85
privacy	veil	0.8
backup	shelter	0.7
backup	preserve	0.85
backup	amber	0.6
store	warehouse	0.85
store	treasure	0.75
store	vault	0.8
store	archive	0.85
database	archive	0.8
database	ledger	0.75
database	warehouse	0.7
data	river	0.7
data	stream	0.75
data	source	0.75
archive	memory	0.8
archive	amber	0.65
cache	stash	0.85
cache	memory	0.8
memory	well	0.7
memory	amber	0.65
memory	recall	0.9
note	quill	0.8
note	margin	0.7
note	scribe	0.8
write	quill	0.85
write	scribe	0.85
write	pen	0.8
document	book	0.85
document	page	0.8
docs	book	0.8
text	word	0.85
text	letter	0.75
journal	diary	0.85
journal	log	0.8
blog	story	0.75
search	scout	0.8
search	hunt	0.8
search	sonar	0.75
search	find	0.9
find	beacon	0.7
find	locate	0.9
index	map	0.75
index	catalog	0.85
browse	roam	0.8
browse	wander	0.8
log	trail	0.85
log	lighthouse	0.7
log	ledger	0.8
log	record	0.9
monitor	watch	0.9
monitor	tower	0.8
monitor	eye	0.8
watch	guardian	0.8
watch	tower	0.75
alert	beacon	0.85
alert	signal	0.9
trace	trail	0.9
trace	thread	0.8
debug	thread	0.75
debug	maze	0.75
error	crack	0.7
fix	mend	0.85
fix	repair	0.9
repair	gold	0.6
test	touchstone	0.8
test	assay	0.8
test	proof	0.8
mock	mirror	0.8
mock	phantom	0.75
mock	imitation	0.85
verify	truth	0.85
verify	assay	0.75
check	touchstone	0.7
validate	seal	0.75
deploy	ship	0.9
deploy	launch	0.9
deploy	sail	0.8
deploy	harbor	0.75
ship	sail	0.85
ship	harbor	0.8
release	launch	0.85
launch	rocket	0.8
host	harbor	0.8
host	home	0.8
server	engine	0.7
cloud	sky	0.85
cloud	mist	0.7
infrastructure	foundation	0.85
build	forge	0.9
build	workshop	0.85
build	anvil	0.75
build	construct	0.9
compile	distill	0.7
compile	forge	0.7
create	workshop	0.8
create	birth	0.7
generate	spring	0.7
generate	source	0.75
make	craft	0.9
tool	instrument	0.85
tool	craft	0.8
automate	clockwork	0.8
automate	automaton	0.85
robot	automaton	0.9
pipeline	caravan	0.7
pipeline	river	0.7
pipeline	thread	0.7
queue	caravan	0.7
queue	relay	0.8
message	messenger	0.9
message	raven	0.7
message	pigeon	0.7
notify	beacon	0.8
notify	messenger	0.8
mail	pigeon	0.75
mail	messenger	0.8
chat	agora	0.65
chat	gather	0.75
forum	agora	0.85
community	village	0.8
community	gather	0.8
team	crew	0.85
team	guild	0.8
collaborate	together	0.9
collaborate	weave	0.7
collaborative	together	0.9
collaborative	unity	0.85
collaboration	together	0.9
editor	write	0.85
edit	write	0.85
code	script	0.8
together	unity	0.85
share	fountain	0.65
share	commons	0.8
sync	orbit	0.7
sync	align	0.85
sync	choir	0.65
connect	bridge	0.9
connect	knot	0.75
connect	thread	0.75
link	bridge	0.85
link	chain	0.8
network	web	0.85
network	warren	0.65
graph	tree	0.8
graph	web	0.75
api	gate	0.75
api	threshold	0.7
proxy	relay	0.85
proxy	door	0.7
gateway	gate	0.9
migrate	crossing	0.85
migrate	ferry	0.8
migrate	journey	0.8
move	crossing	0.75
transfer	ferry	0.8
transform	alchemy	0.8
transform	distill	0.7
convert	alchemy	0.75
state	anchor	0.75
state	thread	0.7
state	snapshot	0.75
manage	steward	0.8
manage	bosun	0.6
organize	catalog	0.8
organize	order	0.85
schedule	clock	0.85
schedule	loom	0.6
time	clock	0.9
time	sundial	0.75
cron	clock	0.8
history	strata	0.75
history	palimpsest	0.7
version	strata	0.7
version	ring	0.65
diff	delta	0.9
branch	tree	0.85
branch	river	0.7
merge	confluence	0.85
merge	weave	0.75
package	parcel	0.85
package	cargo	0.8
registry	depot	0.8
registry	catalog	0.85
module	brick	0.7
module	island	0.65
container	vessel	0.85
container	island	0.6
fast	falcon	0.8
fast	arrow	0.8
fast	wind	0.8
fast	lightning	0.75
speed	falcon	0.75
speed	arrow	0.75
quick	wind	0.7
performance	engine	0.75
optimize	distill	0.7
optimize	sharpen	0.8
light	lantern	0.8
light	star	0.8
light	dawn	0.75
image	prism	0.7
image	lens	0.85
photo	lens	0.85
design	atelier	0.8
design	pattern	0.85
color	prism	0.85
color	pigment	0.8
draw	quill	0.7
music	melody	0.9
music	choir	0.75
sound	echo	0.8
sound	wave	0.85
audio	wave	0.8
audio	echo	0.75
video	reel	0.8
stream	river	0.85
stream	current	0.85
play	game	0.85
game	arena	0.8
learn	apprentice	0.8
learn	scholar	0.8
teach	mentor	0.85
study	scholar	0.85
course	path	0.8
health	vitality	0.85
health	heal	0.85
fitness	vigor	0.8
track	trail	0.85
track	follow	0.85
habit	ritual	0.85
habit	rhythm	0.8
routine	ritual	0.85
daily	dawn	0.75
money	ledger	0.8
money	mint	0.8
payment	ledger	0.75
finance	ledger	0.8
budget	ration	0.7
trade	market	0.85
market	agora	0.75
market	bazaar	0.8
shop	bazaar	0.75
travel	journey	0.9
travel	compass	0.8
map	chart	0.9
