# Submorpheme inventory (Phase 142). Curated from research/submorph/draft.tsv
# by research/submorph/curate.py; hand rows appended. Schema:
# fragment	position	class	canon_weight	associations	gloss
#
# Curation rule for meaning fragments (Phase 143, applied by hand): the
# fragment must carry its gloss to an English ear. "cel" earns excel, "tain"
# earns obtain — but "lot" never meant ocelot, "gon" never meant argon, and
# "per" means neither perky nor copper. About a hundred mined rows of that
# kind were removed, because the decode shown on the card would be a lie.
# The judgment is deliberately not a runtime rule: every mechanical version
# of it either kept "per" or threw out "cel", the family's own exemplar.
# Fragments that failed only as tails (breez, cer, fer, jaz, mer, smal) stay
# as heads, with their associations trimmed to the words they open.
adrift	T	meaning	0.00	adrift:0.70	set loose
afloat	T	meaning	0.00	afloat:0.75	buoyant
aglow	T	meaning	0.00	aglow:0.80	glowing
ahead	T	meaning	0.00	ahead:0.80	out in front
aloft	T	meaning	0.00	aloft:0.75	held high
along	T	meaning	0.00	along:0.80	tag along
amigo	T	meaning	0.00	amigo:0.70	friend
arc	H	meaning	0.00	arctic:0.75	arctic
arise	T	meaning	0.00	arise:0.75	rising
art	H	meaning	0.00	artful:0.75	artful
aur	H	meaning	0.00	aura:0.80,aurora:0.75	aura · aurora
awake	T	meaning	0.00	awake:0.80	wide awake
away	T	meaning	0.00	away:0.80	up and away
bea	H	meaning	0.00	beacon:0.60	beacon
bree	H	meaning	0.00	breezy:0.80	breezy
breez	H	meaning	0.00	breeze:1.00	breeze
can	H	meaning	0.00	canyon:0.75,candid:0.75	canyon · candid
cap	H	meaning	0.00	capstone:0.71	capstone
car	H	meaning	0.00	cardinal:0.69	cardinal
cel	T	meaning	0.00	excel:0.85,accelerate:0.80,celerity:0.55	excel · accelerate
cen	H	meaning	0.00	central:0.71,center:0.70	central · center
cept	T	meaning	0.00	concept:0.73	concept
cer	H	meaning	0.00	certify:0.67	certify
cess	T	meaning	0.00	access:0.74	access
chi	H	meaning	0.00	chipper:0.75	chipper
cise	T	meaning	0.00	precise:0.69,concise:0.59	precise · concise
cla	H	meaning	0.00	classic:0.75	classic
clave	T	meaning	0.00	enclave:0.77	enclave
cle	H	meaning	0.00	clever:0.80	clever
cli	H	meaning	0.00	clicking:0.75	clicking
coa	H	meaning	0.00	coastal:0.67	coastal
cog	H	meaning	0.00	cognition:0.75,cog:0.60	thinking · gear
com	H	meaning	0.00	complex:0.59,community:0.57	complex · community
cor	B	meaning	0.00	core:0.90,cordial:0.75,recording:0.57	core · cordial
craf	H	meaning	0.00	crafty:0.83	crafty
crea	H	meaning	0.00	create:0.80	create
crim	H	meaning	0.00	crimson:0.79	crimson
cros	T	meaning	0.00	across:0.74	across
cry	H	meaning	0.00	crystal:0.71	crystal
cur	H	meaning	0.00	current:0.75,curate:0.70,secure:0.55	current · curate
dic	H	meaning	0.00	dictionary:0.57	dictionary
doc	H	meaning	0.00	document:0.67	document
dex	T	meaning	0.00	index:0.85,dexterity:0.60	index · dexterity
dom	T	meaning	0.00	wisdom:0.59	wisdom
dur	H	meaning	0.00	durable:0.80,endure:0.70	durable
dwe	H	meaning	0.00	dwelling:0.65	dwelling
